Distribuição dos casos  autóctones de dengue segundo o município de residência, por semana epidemiológica de início de sintomas,ESP, 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRS;;GVE;;Região de Saúde;;município;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;SE 14;SE 15;SE 16;SE 17;SE 18;SE 19;SE 20;SE 21;SE 22;SE 23;SE 24;SE 25;SE 26;SE 27;SE 28;SE 29;SE 30;SE 31;SE 32;SE 33;SE 34;SE 35;SE 36;SE 37;SE 38;SE 39;SE 40;SE 41;SE 42;SE 43;SE 44;SE 45;SE 46;SE 47;SE 48;SE 49;SE 50;SE 51;SE 52;Total;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Marília;XIX;MARÍLIA;35091;ADAMANTINA ;350010 Adamantina;1;2;1;3;2;3;2;2;6;13;30;39;69;85;82;106;127;166;132;99;49;42;30;17;18;17;14;4;6;8;6;8;3;3;4;3;2;2;3;1;3;1;5;5;4;13;10;12;9;31;22;32;1.357;
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35156;JOSÉ BONIFÁCIO;350020 Adolfo;21;9;3;7;7;12;11;1;2;17;14;10;6;9;8;6;10;7;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;170;
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35142;MANTIQUEIRA;350030 Aguaí;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35142;MANTIQUEIRA;350040 Águas da Prata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;Campinas;XVII;CAMPINAS;35074;CIRCUITO DAS AGUAS;350050 Águas de Lindóia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350055 Águas de Santa Bárbara;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3;4;8;7;12;3;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;
10;Piracicaba;XX;PIRACICABA;35103;PIRACICABA;350060 Águas de São Pedro;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;2;1;4;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;
6;Bauru;XV;BAURU;35062;BAURU;350070 Agudos;1;0;0;0;0;0;0;0;2;5;3;7;22;13;17;21;18;34;29;21;9;6;9;3;1;3;4;1;4;2;3;0;1;2;1;0;1;0;0;1;0;0;0;0;0;3;1;0;0;2;2;1;253;
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;350075 Alambari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350080 Alfredo Marcondes;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;2;1;3;2;1;1;1;2;1;0;1;2;0;0;0;1;2;0;0;0;0;0;0;0;1;0;1;1;3;1;10;26;11;43;35;32;189;
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;350090 Altair;0;0;2;0;0;0;1;1;0;2;4;1;6;4;4;1;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350100 Altinópolis;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350110 Alto Alegre;33;19;18;19;20;16;15;19;36;26;23;10;17;9;12;4;4;8;9;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322;
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350115 Alumínio;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;350120 Álvares Florence;2;9;8;7;25;14;20;30;45;55;41;38;31;27;24;12;7;9;1;6;0;2;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;4;6;2;2;437;
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350130 Álvares Machado;2;1;0;0;1;2;0;0;0;1;0;1;2;3;1;5;11;23;11;17;11;9;5;6;1;5;5;13;1;9;6;3;7;6;6;8;4;8;5;9;4;7;16;13;21;35;43;33;56;80;74;61;651;
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;350140 Álvaro de Carvalho;0;0;0;0;0;0;2;0;0;0;1;3;7;8;8;15;13;9;13;8;3;4;6;1;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;350150 Alvinlândia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;14;
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350160 Americana;1;2;2;3;5;14;26;20;67;91;162;282;348;292;384;462;401;535;328;261;144;98;74;43;55;31;28;16;21;14;14;6;14;0;4;5;3;5;5;1;4;7;4;3;2;1;1;2;3;1;3;0;4.298;
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350170 Américo Brasiliense;0;0;1;2;5;12;31;45;79;133;175;215;285;365;353;297;350;386;238;144;46;45;41;22;27;12;16;18;6;7;7;3;2;2;3;1;0;0;2;2;3;0;1;0;2;1;0;1;1;1;0;2;3.390;
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;350180 Américo de Campos;0;2;0;6;8;15;40;34;43;43;26;20;24;26;21;33;19;22;12;7;6;4;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;418;
7;Campinas;XVII;CAMPINAS;35074;CIRCUITO DAS AGUAS;350190 Amparo;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;2;5;2;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;
10;Piracicaba;XX;PIRACICABA;35104;RIO CLARO;350200 Analândia;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;5;7;7;1;3;2;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;39;
2;Araçatuba;XI;ARAÇATUBA;35022;LAGOS DO DRS II;350210 Andradina;1;3;3;2;8;9;6;9;16;20;19;32;111;132;154;154;192;260;242;173;122;84;50;29;44;35;5;3;2;3;0;3;3;0;2;1;0;1;1;0;2;2;2;0;2;5;2;3;2;1;5;1;1.961;
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;350220 Angatuba;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350230 Anhembi;0;1;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350240 Anhumas;0;0;0;0;0;0;2;0;0;0;7;5;7;14;24;31;46;35;14;19;10;14;18;10;5;9;2;6;0;2;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;289;
