DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Confirmados,Agosto Notificados,Setembro Confirmados,Setembro Notificados,Outubro Confirmados,Outubro Notificados,Novembro Confirmados,Novembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
9,Marília,23,9,21,7,166,128,576,429,731,468,205,95,96,40,21,18,11,29,12,62,39,175,98,2141,1357,350010,Adamantina
15,São José do Rio Preto,102,49,37,28,68,48,52,34,23,14,7,2,2,0,0,0,0,0,0,1,0,3,1,297,176,350020,Adolfo
14,São João da Boa Vista,9,2,3,1,5,1,7,0,8,1,1,0,2,0,0,3,0,2,0,1,0,3,0,44,5,350030,Aguaí
14,São João da Boa Vista,0,0,0,0,3,0,1,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,11,0,350040,Águas da Prata
7,Campinas,1,0,0,0,1,0,26,2,54,9,9,0,0,0,0,3,0,2,0,1,0,4,0,101,11,350050,Águas de Lindóia
6,Bauru,1,0,0,0,2,1,19,10,46,30,15,2,3,2,1,0,0,0,0,0,0,1,0,88,46,350055,Águas de Santa Bárbara
10,Piracicaba,0,0,5,0,12,0,24,8,35,5,13,3,9,0,0,4,0,3,0,0,0,3,0,110,16,350060,Águas de São Pedro
6,Bauru,2,1,5,0,40,34,98,74,117,95,52,19,23,13,5,6,2,9,1,12,4,11,5,399,253,350070,Agudos
16,Sorocaba,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,1,350075,Alambari
11,Presidente Prudente,12,4,4,1,3,0,27,2,70,8,30,4,22,3,3,6,0,18,2,115,25,271,137,590,189,350080,Alfredo Marcondes
5,Barretos,9,2,10,2,29,12,47,13,5,1,1,0,1,1,0,1,0,3,0,4,0,2,0,112,31,350090,Altair
13,Riberão Preto,2,0,4,0,8,0,26,3,5,3,0,0,0,0,0,4,0,1,0,0,0,2,0,55,6,350100,Altinópolis
2,Araçatuba,112,102,81,75,102,95,40,35,22,22,0,0,0,0,0,1,0,0,0,0,0,0,0,358,329,350110,Alto Alegre
16,Sorocaba,4,0,2,0,6,2,3,2,12,0,5,0,0,0,0,1,0,3,0,7,0,5,0,49,4,350115,Alumínio
15,São José do Rio Preto,54,34,146,101,300,183,133,77,57,17,24,8,5,0,0,5,0,14,1,13,1,35,15,796,437,350120,Álvares Florence
