"DRS_id","DRS","Município","Janeiro Notificados","Janeiro Confirmados","Fevereiro Notificados","Fevereiro Confirmados","Março Notificados","Março Confirmados","Abril Notificados","Abril Confirmados","Maio Notificados","Maio Confirmados","Junho Notificados","Junho Confirmados","Julho Notificados","Julho Confirmados","Agosto Notificados","Agosto Confirmados","Setembro Notificados","Setembro Confirmados","Outubro Notificados","Outubro Confirmados","Novembro Notificados","Novembro Confirmados","Dezembro Notificados","Dezembro Confirmados","Total Notificados","Total Confirmados"
"9","Marília","350010 Adamantina","664.00","547.00","991.00","790.00","1,387.00","1,145.00","863.00","689.00","247.00","137.00","21.00","13.00","17.00","4.00","12.00","4.00","28.00","7.00","29.00","7.00","35.00","9.00","29.00","4.00","4,323.00","3,356.00"
"15","São José do Rio Preto","350020 Adolfo","4.00","3.00","10.00","3.00","9.00","2.00","21.00","7.00","12.00","3.00","8.00","0.00","3.00","0.00","2.00","0.00","3.00","0.00","5.00","0.00","2.00","0.00","6.00","0.00","85.00","18.00"
"14","São João da Boa Vista","350030 Aguaí","7.00","0.00","6.00","1.00","19.00","2.00","27.00","1.00","23.00","1.00","10.00","1.00","4.00","0.00","7.00","2.00","6.00","2.00","5.00","0.00","13.00","1.00","10.00","0.00","137.00","11.00"
"14","São João da Boa Vista","350040 Águas da Prata","0.00","0.00","4.00","1.00","19.00","2.00","17.00","3.00","19.00","2.00","6.00","0.00","3.00","0.00","4.00","0.00","2.00","0.00","4.00","1.00","5.00","0.00","2.00","1.00","85.00","10.00"
"7","Campinas","350050 Águas de Lindóia","3.00","0.00","1.00","1.00","4.00","1.00","5.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00","2.00","0.00","1.00","0.00","2.00","0.00","3.00","0.00","0.00","0.00","25.00","2.00"
"6","Bauru","350055 Águas de Santa Bárbara","0.00","0.00","1.00","1.00","7.00","0.00","34.00","4.00","37.00","2.00","3.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","2.00","0.00","85.00","8.00"
"10","Piracicaba","350060 Águas de São Pedro","0.00","0.00","2.00","0.00","2.00","0.00","5.00","0.00","3.00","0.00","4.00","0.00","0.00","0.00","2.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","20.00","0.00"
"6","Bauru","350070 Agudos","23.00","13.00","411.00","208.00","966.00","627.00","1,320.00","1,194.00","660.00","609.00","92.00","82.00","16.00","13.00","5.00","3.00","11.00","2.00","17.00","7.00","17.00","6.00","18.00","11.00","3,556.00","2,775.00"
"16","Sorocaba","350075 Alambari","2.00","0.00","0.00","0.00","1.00","0.00","4.00","1.00","2.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","2.00","0.00","13.00","1.00"
"11","Presidente Prudente","350080 Alfredo Marcondes","396.00","214.00","208.00","126.00","162.00","87.00","103.00","37.00","52.00","17.00","6.00","1.00","4.00","0.00","3.00","0.00","4.00","0.00","2.00","0.00","6.00","0.00","6.00","0.00","952.00","482.00"
"5","Barretos","350090 Altair","8.00","1.00","19.00","3.00","77.00","3.00","21.00","0.00","13.00","3.00","2.00","0.00","1.00","0.00","0.00","0.00","5.00","0.00","12.00","0.00","2.00","0.00","0.00","0.00","160.00","10.00"
"13","Riberão Preto","350100 Altinópolis","2.00","0.00","6.00","0.00","23.00","6.00","39.00","19.00","24.00","8.00","6.00","2.00","1.00","0.00","2.00","0.00","2.00","0.00","1.00","0.00","4.00","3.00","4.00","3.00","114.00","41.00"
"2","Araçatuba","350110 Alto Alegre","1.00","0.00","0.00","0.00","1.00","0.00","10.00","1.00","1.00","0.00","3.00","1.00","1.00","0.00","1.00","0.00","5.00","3.00","0.00","0.00","1.00","0.00","2.00","0.00","26.00","5.00"
"16","Sorocaba","350115 Alumínio","2.00","0.00","5.00","0.00","29.00","1.00","34.00","3.00","31.00","7.00","7.00","0.00","4.00","0.00","4.00","0.00","5.00","0.00","9.00","0.00","7.00","0.00","5.00","0.00","142.00","11.00"
"15","São José do Rio Preto","350120 Álvares Florence","50.00","11.00","47.00","4.00","31.00","1.00","30.00","1.00","24.00","4.00","6.00","1.00","12.00","1.00","8.00","1.00","4.00","0.00","6.00","0.00","7.00","0.00","18.00","1.00","243.00","25.00"
"11","Presidente Prudente","350130 Álvares Machado","788.00","630.00","882.00","632.00","854.00","551.00","429.00","234.00","172.00","47.00","37.00","8.00","23.00","0.00","20.00","0.00","21.00","0.00","36.00","1.00","29.00","1.00","30.00","2.00","3,321.00","2,106.00"
"9","Marília","350140 Álvaro de Carvalho","4.00","3.00","32.00","15.00","86.00","27.00","113.00","52.00","78.00","19.00","6.00","4.00","5.00","1.00","0.00","0.00","1.00","0.00","3.00","0.00","1.00","0.00","0.00","0.00","329.00","121.00"
