DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Notificados,Agosto Confirmados,Setembro Notificados,Setembro Confirmados,Outubro Notificados,Outubro Confirmados,Novembro Notificados,Novembro Confirmados,Dezembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
9.0,Marília,664.00,547,991,790,1387,1145,863,689,247,137,21,13,17,4,12,4,28,7,29,7,35,9,29,4,4323,3356,350010,Adamantina
15.0,São José do Rio Preto,4.00,3,10,3,9,2,21,7,12,3,8,0,3,0,2,0,3,0,5,0,2,0,6,0,85,18,350020,Adolfo
14.0,São João da Boa Vista,7.00,0,6,1,19,2,27,1,23,1,10,1,4,0,7,2,6,2,5,0,13,1,10,0,137,11,350030,Aguaí
14.0,São João da Boa Vista,0.00,0,4,1,19,2,17,3,19,2,6,0,3,0,4,0,2,0,4,1,5,0,2,1,85,10,350040,Águas da Prata
7.0,Campinas,3.00,0,1,1,4,1,5,0,4,0,0,0,0,0,2,0,1,0,2,0,3,0,0,0,25,2,350050,Águas de Lindóia
6.0,Bauru,0.00,0,1,1,7,0,34,4,37,2,3,1,0,0,0,0,0,0,0,0,1,0,2,0,85,8,350055,Águas de Santa Bárbara
10.0,Piracicaba,0.00,0,2,0,2,0,5,0,3,0,4,0,0,0,2,0,1,0,0,0,1,0,0,0,20,0,350060,Águas de São Pedro
6.0,Bauru,23.00,13,411,208,966,627,1320,1194,660,609,92,82,16,13,5,3,11,2,17,7,17,6,18,11,3556,2775,350070,Agudos
16.0,Sorocaba,2.00,0,0,0,1,0,4,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,13,1,350075,Alambari
11.0,Presidente Prudente,396.00,214,208,126,162,87,103,37,52,17,6,1,4,0,3,0,4,0,2,0,6,0,6,0,952,482,350080,Alfredo Marcondes
5.0,Barretos,8.00,1,19,3,77,3,21,0,13,3,2,0,1,0,0,0,5,0,12,0,2,0,0,0,160,10,350090,Altair
13.0,Riberão Preto,2.00,0,6,0,23,6,39,19,24,8,6,2,1,0,2,0,2,0,1,0,4,3,4,3,114,41,350100,Altinópolis
2.0,Araçatuba,1.00,0,0,0,1,0,10,1,1,0,3,1,1,0,1,0,5,3,0,0,1,0,2,0,26,5,350110,Alto Alegre
16.0,Sorocaba,2.00,0,5,0,29,1,34,3,31,7,7,0,4,0,4,0,5,0,9,0,7,0,5,0,142,11,350115,Alumínio
15.0,São José do Rio Preto,50.00,11,47,4,31,1,30,1,24,4,6,1,12,1,8,1,4,0,6,0,7,0,18,1,243,25,350120,Álvares Florence
11.0,Presidente Prudente,788.00,630,882,632,854,551,429,234,172,47,37,8,23,0,20,0,21,0,36,1,29,1,30,2,3321,2106,350130,Álvares Machado
9.0,Marília,4.00,3,32,15,86,27,113,52,78,19,6,4,5,1,0,0,1,0,3,0,1,0,0,0,329,121,350140,Álvaro de Carvalho
9.0,Marília,14.00,2,10,4,67,30,121,81,5,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,220,121,350150,Alvinlândia
7.0,Campinas,107.00,23,90,22,355,76,615,210,424,145,185,31,108,11,113,6,144,8,141,15,154,7,107,10,2543,564,350160,Americana
3.0,Araraquara,41.00,1,85,24,197,106,233,122,193,62,59,17,35,6,32,4,38,0,61,1,66,0,26,3,1066,346,350170,Américo Brasiliense
15.0,São José do Rio Preto,20.00,0,6,1,15,1,11,1,7,0,5,0,4,1,5,1,5,0,4,0,7,0,6,0,95,5,350180,Américo de Campos
7.0,Campinas,13.00,8,38,12,267,107,561,215,382,153,146,23,41,9,13,6,18,3,5,3,10,3,3,1,1497,543,350190,Amparo
10.0,Piracicaba,6.00,1,6,2,6,0,6,1,6,0,7,0,2,0,3,0,5,1,4,0,0,0,4,2,55,7,350200,Analândia
2.0,Araçatuba,165.00,49,370,133,1255,1061,1121,1111,597,592,146,144,57,21,50,3,53,1,71,4,53,1,42,1,3980,3121,350210,Andradina
16.0,Sorocaba,1.00,0,3,0,6,1,13,1,10,4,0,0,3,1,0,0,0,0,2,0,2,0,1,0,41,7,350220,Angatuba
6.0,Bauru,2.00,0,3,1,34,16,149,70,92,29,10,3,3,0,4,0,2,0,1,0,2,0,4,0,306,119,350230,Anhembi
11.0,Presidente Prudente,16.00,7,66,35,172,79,185,62,83,18,8,1,4,2,3,0,2,0,3,0,2,0,3,0,547,204,350240,Anhumas
17.0,Taubaté,20.00,7,112,52,304,94,271,62,117,34,27,7,7,1,6,0,13,0,11,0,10,1,12,2,910,260,350250,Aparecida
15.0,São José do Rio Preto,2.00,1,10,4,17,10,37,10,6,0,1,0,4,0,2,0,1,0,0,0,3,1,3,0,86,26,350260,Aparecida d'Oeste
16.0,Sorocaba,1.00,0,1,0,3,0,6,0,5,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,20,1,350270,Apiaí
16.0,Sorocaba,4.00,1,21,4,42,29,76,51,56,28,5,2,5,0,1,0,3,0,2,0,1,0,1,0,217,115,350275,Araçariguama
2.0,Araçatuba,792.00,62,1026,81,1921,188,2011,301,1370,184,661,63,552,24,625,12,562,14,599,25,461,15,388,20,10968,989,350280,Araçatuba
16.0,Sorocaba,10.00,0,13,0,61,6,100,18,102,25,39,8,19,2,12,1,19,0,16,0,17,1,10,0,418,61,350290,Araçoiaba da Serra
8.0,Franca,1.00,0,4,3,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,350300,Aramina
6.0,Bauru,1.00,0,3,0,13,1,88,30,57,39,15,10,1,0,0,0,2,1,1,0,1,0,0,0,182,81,350310,Arandu
17.0,Taubaté,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350315,Arapeí
3.0,Araraquara,326.00,13,579,38,897,124,902,224,826,188,392,44,224,20,269,21,273,23,343,26,361,33,214,14,5606,768,350320,Araraquara
10.0,Piracicaba,73.00,6,111,6,212,16,100,6,107,5,19,2,24,2,14,0,39,1,31,0,29,0,22,2,781,46,350330,Araras
9.0,Marília,84.00,79,65,60,42,37,33,28,3,2,1,1,1,0,0,0,1,0,4,2,0,0,0,0,234,209,350335,Arco-Íris
6.0,Bauru,1.00,1,8,3,74,44,261,154,263,101,73,33,1,1,7,5,4,1,8,5,27,16,13,3,740,367,350340,Arealva
17.0,Taubaté,0.00,0,0,0,13,4,5,0,1,0,1,0,1,0,1,0,2,0,1,0,0,0,1,0,26,4,350350,Areias
6.0,Bauru,2.00,1,7,1,14,5,24,12,23,8,5,1,10,5,3,1,0,0,0,0,3,0,0,0,91,34,350360,Areiópolis
15.0,São José do Rio Preto,8.00,1,18,5,44,2,28,7,35,19,31,11,11,3,7,0,1,0,13,0,8,3,26,13,230,64,350370,Ariranha
7.0,Campinas,12.00,0,19,0,60,10,67,7,48,16,16,1,15,3,25,5,11,0,17,0,11,1,12,4,313,47,350380,Artur Nogueira
1.0,São Paulo,9.00,0,10,4,40,13,65,42,34,20,16,8,6,1,3,1,12,0,14,2,15,0,14,2,238,93,350390,Arujá
15.0,São José do Rio Preto,2.00,1,10,1,29,11,7,4,3,1,2,1,2,1,1,0,3,0,2,0,1,0,1,0,63,20,350395,Aspásia
