DRS_id,DRS,Município,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19
9.00,MARÍLIA,350010 Adamantina,61.00,8.00,197.00,36.00,244.00,25.00,502.00,69.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,350020 Adolfo,12.00,0.00,29.00,3.00,47.00,3.00,88.00,6.00,,,,,,,,,,,,,,,,,,,
14.00,SÃO JOÃO DA BOA VISTA,350030 Aguaí,29.00,5.00,210.00,15.00,458.00,47.00,697.00,67.00,,,,,,,,,,,,,,,,,,,
14.00,SÃO JOÃO DA BOA VISTA,350040 Águas da Prata,8.00,0.00,52.00,14.00,117.00,62.00,177.00,76.00,,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,350050 Águas de Lindóia,14.00,7.00,119.00,77.00,418.00,265.00,551.00,349.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350055 Águas de Santa Bárbara,1.00,0.00,55.00,9.00,76.00,41.00,132.00,50.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,350060 Águas de São Pedro,12.00,0.00,55.00,11.00,78.00,25.00,145.00,36.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350070 Agudos,26.00,11.00,59.00,33.00,113.00,87.00,198.00,131.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,350075 Alambari,5.00,0.00,36.00,9.00,42.00,23.00,83.00,32.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,350080 Alfredo Marcondes,5.00,0.00,8.00,0.00,12.00,2.00,25.00,2.00,,,,,,,,,,,,,,,,,,,
5.00,BARRETOS,350090 Altair,31.00,3.00,30.00,9.00,26.00,4.00,87.00,16.00,,,,,,,,,,,,,,,,,,,
13.00,RIBEIRÃO PRETO,350100 Altinópolis,10.00,3.00,34.00,19.00,90.00,73.00,134.00,95.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350110 Alto Alegre,1.00,0.00,2.00,1.00,2.00,1.00,5.00,2.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,350115 Alumínio,28.00,9.00,128.00,24.00,250.00,50.00,406.00,83.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,350120 Álvares Florence,16.00,2.00,37.00,6.00,59.00,12.00,112.00,20.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,350130 Álvares Machado,64.00,1.00,138.00,8.00,166.00,2.00,368.00,11.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,350140 Álvaro de Carvalho,7.00,3.00,38.00,5.00,46.00,1.00,91.00,9.00,,,,,,,,,,,,,,,,,,,
9.00,MARÍLIA,350150 Alvinlândia,4.00,2.00,18.00,2.00,45.00,8.00,67.00,12.00,,,,,,,,,,,,,,,,,,,
