DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
9.0,MARÍLIA,61.00,8,197,36,244,25,502,69,350010,Adamantina
15.0,SÃO JOSÉ DO RIO PRETO,12.00,0,29,3,47,3,88,6,350020,Adolfo
14.0,SÃO JOÃO DA BOA VISTA,29.00,5,210,15,458,47,697,67,350030,Aguaí
14.0,SÃO JOÃO DA BOA VISTA,8.00,0,52,14,117,62,177,76,350040,Águas da Prata
7.0,CAMPINAS,14.00,7,119,77,418,265,551,349,350050,Águas de Lindóia
6.0,BAURU,1.00,0,55,9,76,41,132,50,350055,Águas de Santa Bárbara
10.0,PIRACICABA,12.00,0,55,11,78,25,145,36,350060,Águas de São Pedro
6.0,BAURU,26.00,11,59,33,113,87,198,131,350070,Agudos
16.0,SOROCABA,5.00,0,36,9,42,23,83,32,350075,Alambari
11.0,PRESIDENTE PRUDENTE,5.00,0,8,0,12,2,25,2,350080,Alfredo Marcondes
5.0,BARRETOS,31.00,3,30,9,26,4,87,16,350090,Altair
13.0,RIBEIRÃO PRETO,10.00,3,34,19,90,73,134,95,350100,Altinópolis
2.0,ARAÇATUBA,1.00,0,2,1,2,1,5,2,350110,Alto Alegre
16.0,SOROCABA,28.00,9,128,24,250,50,406,83,350115,Alumínio
15.0,SÃO JOSÉ DO RIO PRETO,16.00,2,37,6,59,12,112,20,350120,Álvares Florence
11.0,PRESIDENTE PRUDENTE,64.00,1,138,8,166,2,368,11,350130,Álvares Machado
9.0,MARÍLIA,7.00,3,38,5,46,1,91,9,350140,Álvaro de Carvalho
9.0,MARÍLIA,4.00,2,18,2,45,8,67,12,350150,Alvinlândia
7.0,CAMPINAS,258.00,34,851,228,1248,466,2357,728,350160,Americana
3.0,ARARAQUARA,75.00,8,170,32,145,32,390,72,350170,Américo Brasiliense
15.0,SÃO JOSÉ DO RIO PRETO,14.00,4,36,16,38,12,88,32,350180,Américo de Campos
7.0,CAMPINAS,24.00,17,136,48,249,140,409,205,350190,Amparo
10.0,PIRACICABA,27.00,11,237,180,302,295,566,486,350200,Analândia
2.0,ARAÇATUBA,98.00,3,182,5,276,14,556,22,350210,Andradina
16.0,SOROCABA,6.00,0,100,15,243,85,349,100,350220,Angatuba
6.0,BAURU,11.00,0,45,2,70,26,126,28,350230,Anhembi
11.0,PRESIDENTE PRUDENTE,4.00,0,27,2,26,1,57,3,350240,Anhumas
17.0,TAUBATÉ,86.00,13,429,122,362,118,877,253,350250,Aparecida
15.0,SÃO JOSÉ DO RIO PRETO,3.00,0,5,0,47,3,55,3,350260,Aparecida d'Oeste
16.0,SOROCABA,13.00,1,21,6,107,44,141,51,350270,Apiaí
16.0,SOROCABA,31.00,19,162,42,202,112,395,173,350275,Araçariguama
2.0,ARAÇATUBA,516.00,26,1475,83,1723,97,3714,206,350280,Araçatuba
16.0,SOROCABA,36.00,9,90,33,128,46,254,88,350290,Araçoiaba da Serra
8.0,FRANCA,0.00,0,10,5,17,9,27,14,350300,Aramina
6.0,BAURU,5.00,0,23,0,117,50,145,50,350310,Arandu
17.0,TAUBATÉ,2.00,0,12,6,93,62,107,68,350315,Arapeí
3.0,ARARAQUARA,439.00,57,1211,111,1443,254,3093,422,350320,Araraquara
10.0,PIRACICABA,91.00,18,358,62,442,177,891,257,350330,Araras
9.0,MARÍLIA,2.00,1,2,1,3,1,7,3,350335,Arco-Íris
6.0,BAURU,46.00,24,114,55,153,89,313,168,350340,Arealva
17.0,TAUBATÉ,14.00,1,22,3,44,10,80,14,350350,Areias
6.0,BAURU,12.00,2,61,20,289,123,362,145,350360,Areiópolis
15.0,SÃO JOSÉ DO RIO PRETO,125.00,73,365,218,507,290,997,581,350370,Ariranha
7.0,CAMPINAS,86.00,39,316,124,636,280,1038,443,350380,Artur Nogueira
1.0,GRANDE SÃO PAULO,82.00,16,431,120,444,178,957,314,350390,Arujá
15.0,SÃO JOSÉ DO RIO PRETO,11.00,1,15,0,16,1,42,2,350395,Aspásia
9.0,MARÍLIA,763.00,225,1197,254,1200,253,3160,732,350400,Assis
7.0,CAMPINAS,236.00,146,1560,956,2080,1525,3876,2627,350410,Atibaia
2.0,ARAÇATUBA,4.00,1,19,0,27,0,50,1,350420,Auriflama
6.0,BAURU,1.00,0,2,1,5,1,8,2,350430,Avaí
2.0,ARAÇATUBA,3.00,3,1,1,21,20,25,24,350440,Avanhandava
6.0,BAURU,134.00,54,453,124,625,437,1212,615,350450,Avaré
15.0,SÃO JOSÉ DO RIO PRETO,97.00,6,216,34,278,34,591,74,350460,Bady Bassitt
6.0,BAURU,2.00,0,14,1,60,12,76,13,350470,Balbinos
15.0,SÃO JOSÉ DO RIO PRETO,37.00,4,78,10,66,11,181,25,350480,Bálsamo
17.0,TAUBATÉ,17.00,11,60,50,230,205,307,266,350490,Bananal
6.0,BAURU,0.00,0,0,0,12,1,12,1,350500,Barão de Antonina
2.0,ARAÇATUBA,5.00,0,28,1,22,1,55,2,350510,Barbosa
6.0,BAURU,923.00,823,1498,1436,634,618,3055,2877,350520,Bariri
6.0,BAURU,79.00,13,182,22,284,42,545,77,350530,Barra Bonita
16.0,SOROCABA,1.00,0,4,2,43,14,48,16,350535,Barra do Chapéu
12.0,REGISTRO,1.00,0,46,13,72,51,119,64,350540,Barra do Turvo
5.0,BARRETOS,403.00,52,1199,279,1601,582,3203,913,350550,Barretos
13.0,RIBEIRÃO PRETO,77.00,17,388,107,149,39,614,163,350560,Barrinha
1.0,GRANDE SÃO PAULO,157.00,18,1112,204,2457,196,3726,418,350570,Barueri
9.0,MARÍLIA,12.00,2,76,4,97,14,185,20,350580,Bastos
13.0,RIBEIRÃO PRETO,366.00,151,1073,558,277,183,1716,892,350590,Batatais
6.0,BAURU,"1,010.00",367,2190,1044,2595,1009,5795,2420,350600,Bauru
5.0,BARRETOS,"1,642.00",895,3185,1807,1644,201,6471,2903,350610,Bebedouro
2.0,ARAÇATUBA,2.00,0,6,0,4,2,12,2,350620,Bento de Abreu
9.0,MARÍLIA,24.00,15,166,156,208,206,398,377,350630,Bernardino de Campos
4.0,BAIXADA SANTISTA,"1,104.00",520,991,499,802,517,2897,1536,350635,Bertioga
2.0,ARAÇATUBA,5.00,0,21,3,7,1,33,4,350640,Bilac
2.0,ARAÇATUBA,247.00,110,931,457,920,395,2098,962,350650,Birigui
1.0,GRANDE SÃO PAULO,48.00,9,220,28,515,305,783,342,350660,Biritiba Mirim
3.0,ARARAQUARA,36.00,1,96,7,93,9,225,17,350670,Boa Esperança do Sul
6.0,BAURU,13.00,1,37,10,39,12,89,23,350680,Bocaina
6.0,BAURU,32.00,3,87,8,106,15,225,26,350690,Bofete
16.0,SOROCABA,150.00,72,390,155,1330,798,1870,1025,350700,Boituva
7.0,CAMPINAS,46.00,13,113,34,135,94,294,141,350710,Bom Jesus dos Perdões
16.0,SOROCABA,0.00,0,4,0,5,0,9,0,350715,Bom Sucesso de Itararé
9.0,MARÍLIA,3.00,0,3,0,21,7,27,7,350720,Borá
6.0,BAURU,83.00,76,182,105,126,104,391,285,350730,Boracéia
3.0,ARARAQUARA,57.00,38,139,60,115,76,311,174,350740,Borborema
6.0,BAURU,4.00,0,15,0,20,1,39,1,350745,Borebi
6.0,BAURU,"1,567.00",773,3092,1553,6809,4392,11468,6718,350750,Botucatu
7.0,CAMPINAS,"1,061.00",762,2578,2086,1360,1056,4999,3904,350760,Bragança Paulista
2.0,ARAÇATUBA,3.00,3,7,4,0,0,10,7,350770,Braúna
2.0,ARAÇATUBA,4.00,0,8,0,8,0,20,0,350775,Brejo Alegre
13.0,RIBEIRÃO PRETO,"1,060.00",1027,824,794,324,299,2208,2120,350780,Brodowski
6.0,BAURU,44.00,21,254,111,315,191,613,323,350790,Brotas
16.0,SOROCABA,20.00,8,139,18,208,51,367,77,350800,Buri
2.0,ARAÇATUBA,3.00,0,63,3,59,9,125,12,350810,Buritama
8.0,FRANCA,9.00,0,8,0,36,4,53,4,350820,Buritizal
6.0,BAURU,5.00,0,29,0,15,0,49,0,350830,Cabrália Paulista
7.0,CAMPINAS,28.00,14,322,175,353,137,703,326,350840,Cabreúva
17.0,TAUBATÉ,312.00,19,989,168,2161,1280,3462,1467,350850,Caçapava
17.0,TAUBATÉ,65.00,7,82,44,93,73,240,124,350860,Cachoeira Paulista
14.0,SÃO JOÃO DA BOA VISTA,11.00,1,87,12,371,203,469,216,350870,Caconde
6.0,BAURU,11.00,3,53,31,74,70,138,104,350880,Cafelândia
11.0,PRESIDENTE PRUDENTE,1.00,0,19,3,74,27,94,30,350890,Caiabu
1.0,GRANDE SÃO PAULO,210.00,112,816,336,667,178,1693,626,350900,Caieiras
11.0,PRESIDENTE PRUDENTE,2.00,0,8,1,9,0,19,1,350910,Caiuá
1.0,GRANDE SÃO PAULO,218.00,13,1121,93,1458,333,2797,439,350920,Cajamar
12.0,REGISTRO,8.00,6,42,13,82,15,132,34,350925,Cajati
5.0,BARRETOS,14.00,2,14,1,33,10,61,13,350930,Cajobi
13.0,RIBEIRÃO PRETO,8.00,0,17,1,34,0,59,1,350940,Cajuru
16.0,SOROCABA,1.00,0,19,13,86,57,106,70,350945,Campina do Monte Alegre
7.0,CAMPINAS,"4,685.00",3978,13917,12301,32265,27906,50867,44185,350950,Campinas
7.0,CAMPINAS,39.00,22,312,97,391,175,742,294,350960,Campo Limpo Paulista
