Distribuição dos casos  autóctones de dengue segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2024;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;Total
;;;;;;;;;;;;;;;;;;;;
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;350010 Adamantina;1;1;0;4;5;2;13;11;8;13;6;2;2;68
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;350020 Adolfo;0;0;0;0;0;1;2;0;0;0;2;0;1;6
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;350030 Aguaí;0;0;1;4;1;1;2;9;5;7;12;14;10;66
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;350040 Águas da Prata;0;0;0;0;2;1;3;7;1;5;6;19;29;73
7;CAMPINAS;17;CAMPINAS;35074;CIRCUITO DAS AGUAS;350050 Águas de Lindóia;0;0;0;1;8;4;15;27;35;32;59;68;77;326
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;350055 Águas de Santa Bárbara;0;0;0;0;2;4;1;0;4;8;10;14;4;47
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;350060 Águas de São Pedro;0;0;0;0;1;1;2;3;4;4;8;6;6;35
6;BAURU;15;BAURU;35062;BAURU;350070 Agudos;3;4;1;2;4;5;8;3;17;30;26;18;10;131
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;350075 Alambari;0;0;0;0;1;0;3;3;2;7;4;7;5;32
